text,severity,risk_type,industry,source,is_augmented,split
"The employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ELE-81-040 (ABB furnace cat ladder), right away He is referred to a collaborator to the medical service to be treated.",Minor,Fall prevention,Metals,IHM_Stefanini,True,train
Worker suffered fatal head injury after slipping in parking lot.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker fatally crushed by van that slipped off jack.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker killed after becoming entangled in drive roller shaft.,Fatal,Unspecified,Unspecified,OSHA,False,train
"Being approx. 3:10 a.m. Mr. Denis made the mesh placed in a ventilation plug up a ladder, as trying to do a wire tie, suddenly had an imbalance because of the manipulation of tools falling from the third step, propiciándose a blow in the right knee and a wound of the wrist of the right hand. Later he was evacuated to the post where he received first aid.",Minor,Others,Mining,IHM_Stefanini,True,train
"When making the change of support the of vertical pump of 6 ""(40357 Zinc two mechanics raised a beam in"" H ""(4"" x 2.7 m and 45 kg.) One at each end and being at the height of The injured person's knee slips from his hands causing the injury described.",Minor,Others,Mining,IHM_Stefanini,True,train
Worker fatally crushed between trash truck and wall.,Fatal,Unspecified,Unspecified,OSHA,False,train
"As the worker cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a of jet compressed air toward his right ear, causing impact noise.",Minor,Pressurized Systems,Metals,IHM_Stefanini,True,train
Worker struck and killed by equipment while removing axle from a trailer.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker on riding lawnmower struck and killed by vehicle.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker died from burns suffered in diesel pipeline explosion.,Fatal,Unspecified,Unspecified,OSHA,False,train
"On the surface, in the dining room of workers of the unit, while the collaborator performed the chicken habilitation for lunch using a kitchen knife, it comes into contact with the distal part of the second finger of the left hand causing the injury described . During the accident the employee did not use his specific height gloves for this type of work.",Minor,Others,Mining,IHM_Stefanini,True,train
Worker died from burns and injuries caused by an explosion.,Fatal,Unspecified,Unspecified,OSHA,False,train
Victim fell from a 3-step ladder.,Fatal,Unspecified,Unspecified,OSHA,False,train
When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned the off equipment and left the area. People passing by were stung.,Minor,Others,Mining,IHM_Stefanini,True,train
Worker asphyxiated from exposure to chlorine gas.,Fatal,Unspecified,Unspecified,OSHA,False,train
"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. about, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, left they the job to ask for help The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",Serious,Fall,Mining,IHM_Stefanini,True,train
Worker electrocuted while installing light fixture.,Fatal,Unspecified,Unspecified,OSHA,False,train
"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, during which the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help right away. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",Serious,Fall,Mining,IHM_Stefanini,True,train
Worker died following amputation injury.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker fatally crushed between garage wall trailer railing.,Fatal,Unspecified,Unspecified,OSHA,False,train
Plain clothes police officer mistaken for a perpetrator and shot by a uniformed officer.,Fatal,Unspecified,Unspecified,OSHA,False,train
"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. about, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes because of a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved the to right side of the equipment, as the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",Serious,Fall,Mining,IHM_Stefanini,True,train
"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. about, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes owing to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",Serious,Fall,Mining,IHM_Stefanini,True,train
Worker died when riding lawn mower flipped over.,Fatal,Unspecified,Unspecified,OSHA,False,train
"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips because of the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",Minor,Others,Mining,IHM_Stefanini,True,train
"During the environmental monitoring activity in the area, the employee was surprised by a swarming swarm of weevils. During the exit of the place, endured suffering two stings, being one in the face and the other in the middle finger the of left hand.",Minor,Venomous Animals,Metals,IHM_Stefanini,True,train
"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting right away the worker removing the with limb force and managing to release the foot, but producing a wound on the right foot.",Moderate,Others,Mining,IHM_Stefanini,True,train
"about 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, following finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon him asks to come down. When the team started, he observed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",Serious,Others,Mining,IHM_Stefanini,True,train
The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,Minor,Others,Metals,IHM_Stefanini,False,train
"The workers: César (injured) and Nilton receive the order of their immediate shift supervisor Román to carry out the assembly activity of a brace (length 4.60 m, approximate weight 50 Kg) of the structure of the Nro belt. 2, said collaborators lift the brace and approach it to the installation point, leaving one end on the ground and the other resting on the corner of the pedestal (approximate height of 40 cm). After carrying out the planning of the work, the injured person lifts the end part that was on the floor to turn and position it for assembly, at that moment the other end falls generating the imprisonment of the fingers of the left hand. Staff is taken to the medical center by the supervisor.",Moderate,Others,Mining,IHM_Stefanini,True,train
"In circumstances, the drilling assistants began to assemble the inner tube to the barel; the injured person retracts the inner tube (head) to throw it manually towards the top of the catheter (inclination - 3 °) to continue with the perforation, in that moment the glove of the left hand is hooked in the speart point pushing his left hand until the edge of the box of the barel, originating the injury. At the time of the accident the injured employee used his rubber gloves and the work area was well lit.",Moderate,Others,Mining,IHM_Stefanini,True,train
Two workers were moving an aluminum ladder. The ladder contacted an overhead power line. One worker was electrocuted and the other was hospitalized.,Fatal,Unspecified,Unspecified,OSHA,False,train
Workerfatally crushed when rebar cage structure collapsed.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker operating a skid steer was crushed by the equipment's arm.,Fatal,Unspecified,Unspecified,OSHA,False,train
"Once the RB machine is lifted (weight 7 tn) at 15 cm from the floor level, the accidently proceeds to pull the RB machine with a key of 5 tons (maximum cap), to lay it on the floor, following advancing 70 cm horizontally, the anchor bolt (pig tail type, 5/8 ""diameter) to which the key was hooked, it breaks transversely, and with the pulling force, key this is projected onto the injured person's left shoulder causing the injury. - The injured was 1.50 meters from the key. - At the time of the incident, the assistant was 5 meters away doing order and cleaning",Minor,Others,Mining,IHM_Stefanini,True,train
"as preparing the rice for the lunch of the day, when moving the pot # 60 - 35 Kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. The cook right away after the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",Minor,Others,Mining,IHM_Stefanini,True,train
"1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he observed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",Serious,Others,Mining,IHM_Stefanini,True,train
"During the environmental monitoring activity in the area, the worker was surprised by a swarming swarm of weevils. During the exit of the place, endured suffering two stings, being one in the face and the other in the middle finger the of left hand.",Minor,Venomous Animals,Metals,IHM_Stefanini,True,train
"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",Minor,Fall prevention (same level),Metals,IHM_Stefanini,True,train
"1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 the of OB2B, following finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",Serious,Others,Mining,IHM_Stefanini,True,train
"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 Nv of 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",Serious,Electrical installation,Mining,IHM_Stefanini,True,train
"The staff member was working in the When a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated PPE, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",Minor,Liquid Metal,Metals,IHM_Stefanini,True,train
"staff member was removing the strap from a chemical container as it projected toward him reaching his lower lip and anterior chest, the strap was contaminated with caustic soda and resulted in a 1st degree burn.",Minor,Suspended Loads,Metals,IHM_Stefanini,True,train
Worker fatally crushed when car fell off jack stand during repairs.,Fatal,Unspecified,Unspecified,OSHA,False,train
"At about 04:50 p.m., when the mechanic technician José of the Tecnomin verified the transmission belts of the HM-100 pump at the Acid plant, he started to turn the pulley manually; unexpectedly at that instant the electrician shift supervisor Miguel of the EKA Mining grabs the transmission belts to verify their tension, at which point the finger traps.",Minor,Pressed,Mining,IHM_Stefanini,True,train
Worker fatally crushed between truck and loading dock.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker killed in fall from construction platform.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker dredging a pond was killed when a backhoe tipped over on him.,Fatal,Unspecified,Unspecified,OSHA,False,train
"staff member was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand.",Minor,Machine Protection,Metals,IHM_Stefanini,True,train
"At level 3450, Tajo area 2; following completing the drilling of drills for loading; the operator removes the bit from the jumbo arm and walks towards the crew cabin; from the crown of the work a fragment of rock that passes through the cocada of the mesh of 3 ""and impacts on its helmet and rebound hits the right shoulder of the operator, generating the described injury.",Minor,remains of choco,Mining,IHM_Stefanini,True,train
"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves.",Moderate,Others,Mining,IHM_Stefanini,True,train
"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing about 200 kg) it is derailed (leaves the rail). to place the platform on the rail, both personnel lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they wore both leather-type safety gloves.",Moderate,Others,Mining,IHM_Stefanini,True,train
"In the area of ​​machine tools of the Maestranza the mechanic (injured) was operating the bench drill drilling a metal jacket of 25 ""x 26"" x 3/4 ""(lining) to install in the Skip; this moment he was accompanied the by mechanic Albino who manipulated the jacket and directed the maneuvers on the right side of the drill. Mr. Albino tells him to stop the drill to verify the depth of the drill, Luis lifts the Chuck and Albino pulls the iron and verifies that everything is fine and communicates that they will restart with the drilling of the other holes. that moment, the victim without apparent reason crosses his left arm with the drill on and is caught by the drill in his work clothes causing the injury described.",Serious,Others,Mining,IHM_Stefanini,True,train
Worker was killed after being run over by a truck and tanker trailer at a fracking oil well site.,Fatal,Unspecified,Unspecified,OSHA,False,train
"during which preparing the rice for the lunch of the day, when moving the pot # 60 - 35 Kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. The cook right away following the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",Minor,Others,Mining,IHM_Stefanini,True,train
The worker reports that he placed the air lance in the tank 1604 and opened the manual air valve and projection of acid solution heated toward him reaching the front of the left thigh.,Minor,Pressurized Systems / Chemical Substances,Metals,IHM_Stefanini,True,train
"When making the change of support of the vertical pump of 6 ""(40357 Zinc two mechanics raised a beam in"" H ""(4"" x 2.7 m and 45 kg.) One at each end and being at the height of The injured person's knee slips from his hands causing the injury described.",Minor,Others,Mining,IHM_Stefanini,False,train
"The Geologo and the auxiliary Elismar traveled to evaluate geological points following the GPS near some drainage. Following the state highway that gives access to the Aripuanã area, they stopped and got out of the vehicle to see the point identified in the GPS, Renato, when distancing himself about seven meters from the vehicle following the road, was surprised by four bites of thorns his on face and neck. Quickly he hurried back to the vehicle, moving away from the place. The clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. There was no allergic reaction.",Minor,Bees,Others,IHM_Stefanini,True,train
"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. roughly, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, as the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",Serious,Fall,Mining,IHM_Stefanini,True,train
Worker died after falling from an 8-foot tripod ladder while thinning peach trees.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker was crushed by a locomotive alternator frame that fell off an oven table.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker asphyxiated after falling into chemical tank.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker struck and killed by switchboard that fell from forklift.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker electrocuted after contacting overhead power lines.,Fatal,Unspecified,Unspecified,OSHA,False,train
"The Employee performed the activity of stripping cathodes, when pulling the cathode sheet his hand hit the side of another cathode, causing a blunt cut on his 2nd finger of the left hand.",Minor,Cut,Metals,IHM_Stefanini,False,train
Worker fatally crushed between conveyer and packages.,Fatal,Unspecified,Unspecified,OSHA,False,train
"The staff member reports that following carrying out activity in the area of ​​the Expedition was to remove the overalls and had contact with material that contaminated the sleeve, which caused 1st degree burn in the right forearm.",Minor,Chemical substances,Metals,IHM_Stefanini,True,train
"At the El Porvenir sub-station at level 4240, when assembling a metal structure (about 120 kg) with the support of a lifting system, three operators try to accommodate the structure to anchor it on its base, at this moment the Metallic structure slides in the direction of the injured worker's right hand, producing a slight right hand accretion between the head of the bolt and the base of the structure causing the injury. At the time the of accident the operators made use of their safety gloves.",Minor,Others,Mining,IHM_Stefanini,True,train
"The lubricating technician Alfredo made the oil filling to the reducer D-100, in which, he notices an oil leak (tearing) between the connection of the hose and the reducer, correcting the leak. Once the work is finished, he goes to the lubricants workshop where he removes the gloves and observes that both hands are affected by contact the with hot surface and goes to the medical center where he was treated.",Minor,Others,Metals,IHM_Stefanini,True,train
"On 05/02/2017, at 10:40 p.m., when performing geological mapping activity, the geologist Manoel da Silva accompanied by the geologists Luciano dos Santos and Dayme had to make the crossing to the other side of a fence barbed wire, known in the region as a goat. It is a fence that from the base up to about 60cm in height is made by rods interlaced horizontally and upwards made with little barbed wire barbed, around 15 to 20cm. I jumped on the fence, and still on the fence I managed to ""sweep"" the vegetation with the left foot but even so as supporting the foot on the ground a stump of approximately 10cm x 1cm came to break the sole of the boot and cause the perforation in the left foot at the height of the fingers.",Minor,Others,Others,IHM_Stefanini,True,train
"as maintaining the ramp 604, when placing the first cloth for the overlap with the previous mesh; the operator will check the work front, return to the back of the team to coordinate with his assistant, at which time a fragment of rock (Weight: 0.42 kg) of the non-suffered area will be detached, which impacts on the arm of the team and reaching by bounce the collaborator causing the injury. The one involved made use of all their EPPs. At the time of the incident the assistant was in the back of the team preparing the support mesh.",Minor,Others,Mining,IHM_Stefanini,True,train
"When performing the sleeve removal maneuver, when the hole was 600 meters deep, General da Silva pressed only one side of the locking nut of the rods, which together with the jack, holds the entire weight of the rods in the maneuver. As the locking procedure was not effective, the weight of the rods was only secured by the steel wire rope of the probe winch. At the moment that driller Pedro released the brake of the winch, the inefficacy of the locking done only in one side the of chestnut and without aid of the monkey, caused the sliding of the rods. Auxiliary was prepared for manual unlocking of the rods, holding the faucet key firmly against the probe tower as the composition shifted. As the stems slid, his hands were shifted downward, causing his left hand to strike against the base of the probe tower structure, causing cuts to the 4th and 5th Quirodactyl. employee was taken to the hospital where he went through medical care. wound was sutured with 16 stitches. same was removed for 10 days from his activities.",Serious,Poll,Others,IHM_Stefanini,True,train
Worker killed in tank explosion.,Fatal,Unspecified,Unspecified,OSHA,False,train
"Being approximately 5:45 pm. On the level. 1710 Cx 018 BP 745, in circumstances that the personnel of the company Rock performed the anchorage of the central pin for the anchoring of the drilling machine Diamantina XRD -30 (bob Cat) the assistant Cristian (injured) made the adjustment of the nut of the central bolt with the stilson key No. 18 Simultaneously Jose from the control panel made the movement of the rotation unit for the positioning of the clamp pin, at that moment the frame is slid by pressing the thumb of the assistant's left hand against the stilson key, causing the described injury, due to the lack of securing the frame fixing bolts.",Minor,Others,Mining,IHM_Stefanini,True,train
Bus driver killed in vehicle collision.,Fatal,Unspecified,Unspecified,OSHA,False,train
"Worker at a ranch museum who was driving a tractor died after it overturned, pinning the worker to the ground.",Fatal,Unspecified,Unspecified,OSHA,False,train
Worker fatally crushed by front tires of container handler.,Fatal,Unspecified,Unspecified,OSHA,False,train
"At roughly 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave feed III was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",Serious,"
Not applicable",Metals,IHM_Stefanini,True,train
"During the execution of the task of assembling the box of testimony boxes, in the area of ​​Bonsucesso, around 10:40 am Orlando research driller - GEOSOL, trying to fit two parts of the trestles, a third piece fell on his hand, which was on the piece he held, causing a small trauma to his left thumb. The staff member was referred to São Lucas hospital - Paracatu LTDA and attended and released without leaving work soon following.",Moderate,Others,Others,IHM_Stefanini,True,train
"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). In order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident led to a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves.",Moderate,Others,Mining,IHM_Stefanini,True,train
Worker found dead underneath a lawnmower.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker fatally engulfed by grain in storage bin.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker drowned when lawn mower fell into lake.,Fatal,Unspecified,Unspecified,OSHA,False,train
"Worker was killed when his truck, which had known maintenance issues, veered off the road.",Fatal,Unspecified,Unspecified,OSHA,False,train
"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 owing to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem; then in coordination with the mechanic decide to perform the test with the diesel system, moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand's atricion against the support of the pivot tube generating the lesion described. At the time of the accident the electrician was alone on the control platform, as the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",Serious,Others,Mining,IHM_Stefanini,True,train
"The staff member was performing maintenance of the blower, when the residual water projection occurred on his face. In an attempt to remove PPE, the injured person has had contact with contaminated gloves with the right eye causing irritation.",Minor,Blocking and isolation of energies,Metals,IHM_Stefanini,True,train
"In circumstances that two employees of the Abratech company were doing putty work inside the conditioning tank (5 meters deep and covered by platforms) of metal gratings - grating- in the upper part), two other staff members of the HyT company carried out maneuvers transfer of a pump with the help of a manual tick - which worked hooked to a beam H, dragging the pump on the metal gratings (grating), suddenly the pump is hooked with a metal grate (grating) and when trying to release it, the metal grid (grating - 13.0 Kg. (60 cm x 92 cm)) falls inside the tank, hits a diagonal channel inside the tank and impacts the right arm of one of the workers and rubs the helmet of the second worker that he was crouching. The area where the bomb was being moved was marked with tape and did not have a lookout.",Minor,Others,Mining,IHM_Stefanini,True,train
Two workers on a drilling rig were electrocuted after contacting overhead power lines.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker at a container terminal died after being caught between two cargo containers.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker killed after falling through a skylight.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker died from heat and smoke exposure while fighting fire.,Fatal,Unspecified,Unspecified,OSHA,False,train
"In circumstances where the employee made the connection of the electric cable of the No. 08 jumbo, the operator feels discomfort in the face cleaning with the hand while using the rubber glove, generating a superficial laceration (small wound) on the left cheekbone.",Minor,Others,Mining,IHM_Stefanini,False,train
"the Once ore loading in the LT-30 locomotive was completed; the penultimate car derails (7th car), by the presence of fragment of rock in the railway line, (weight of the car with mineral 8 tons), and to get it back on track the mining car, the victim makes use of a metal tube (length 1.20 meters and 4 ""diameter) to maneuver and reposition the mining car; at that moment the metallic tube loses stability and imprisons the victim's hand against the strut of the mining car. The collaborator at the time of the event towards the use of his leather gloves.",Moderate,Others,Mining,IHM_Stefanini,True,train
Employee died after falling from scaffolding that collapsed while performing tuckpointing at a residential building.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker drowned in waste water pond after being pinned under dredge machine.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker asphyxiated in fire.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker fatally crushed between trailer and trailer bed.,Fatal,Unspecified,Unspecified,OSHA,False,train
"The operator of the paste filling plant 01 removes a floor grating (60 x 90 cm), to clean the lower floor. It is removed to close the water valve and does not block the vacuum, the two technicians who were entering the filter belt notice an overflow and ask the operator to reduce the load. The mechanics kept walking without noticing the floor and one of them falls into the void impacting his foot left at an angle that was about 25 cm below the floor grating, producing the injury.",Serious,Others,Mining,IHM_Stefanini,False,train
Hotel worker fatally shot during robbery.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker performing sandblasting was fatally crushed under counterweight.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker was cleaning lint out of an industrial dryer when it fell on her crushing her at the waist.,Fatal,Unspecified,Unspecified,OSHA,False,train
"During the execution of the task of assembling the box of testimony boxes, in the area of ​​Bonsucesso, around 10:40 am Orlando research driller - GEOSOL, trying to fit two parts of the trestles, a third piece fell on his hand, which was the on piece he held, causing a small trauma to his left thumb. The staff member was referred to São Lucas hospital - Paracatu LTDA and attended and released without leaving work soon after.",Moderate,Others,Others,IHM_Stefanini,True,train
Worker struck and killed by tug boat.,Fatal,Unspecified,Unspecified,OSHA,False,train
"following the welder completed the welding work to reinforce the forms in the deepening, he walked towards the distant truck at about 40 mt, at which point the welder stepped on a fragment of rock of 5 cm x 10cm x 5cm approx. which generates that the foot flexes and generates the injury in the worker.",Minor,Others,Mining,IHM_Stefanini,True,train
"In Circumstances that the staff was performing the rhyming of caving HW, the 1.5 m HW pipe was suspended roughly 5 cm from the floor, the assistant placed the stilson key No. 36 on the HW pipe to fit the pipe at a height of 10 cm from the base of the rod holder, which the operator operates the chuck to slide this back, causing the pipe to slide causing the tip of the fourth finger of the assistant's right hand to be caught between the stilson key and the of base the rod holder. At the time of the event the collaborator used all his Epps.",Moderate,Manual Tools,Mining,IHM_Stefanini,True,train
